Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Incident Zip,Status
27186289,01/18/2014 12:00:00 AM,01/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10025,Closed
27288311,01/29/2014 12:00:00 AM,01/31/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,RUBBISH,11213,Closed
27273437,01/28/2014 12:06:32 PM,02/01/2014 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Wall/Retaining Wall - Bulging/Cracked,11419,Closed
27283925,01/29/2014 01:30:00 PM,03/03/2014 02:30:00 PM,DEP,Department of Environmental Protection,Water System,Hydrant Defective (WC2),10456,Closed
27249093,01/26/2014 12:00:00 AM,02/07/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,10002,Closed
27192621,01/19/2014 11:10:57 AM,01/19/2014 12:28:54 PM,NYPD,New York City Police Department,Illegal Parking,Blocked Sidewalk,11249,Closed
27177168,01/17/2014 12:50:19 PM,01/17/2014 04:29:24 PM,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,11207,Closed
27284791,01/30/2014 12:00:00 AM,02/01/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10462,Closed
27028799,01/02/2014 12:00:00 AM,01/16/2014 12:00:00 AM,DOHMH,Department of Health and Mental Hygiene,Rodent,Rat Sighting,10003,Closed
27090749,01/08/2014 12:00:00 AM,01/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11230,Closed
27106124,01/09/2014 10:21:00 AM,01/09/2014 10:22:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),11223,Closed
27068125,01/05/2014 12:00:00 AM,01/07/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10457,Closed
27257576,01/24/2014 12:00:00 AM,01/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,10309,Closed
27038618,01/02/2014 12:00:00 AM,02/06/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10468,Closed
27129413,01/12/2014 02:16:00 PM,01/13/2014 12:00:00 PM,DSNY,BCC - Staten Island,Missed Collection (All Materials),1 Missed Collection,10306,Closed
27144921,01/14/2014 04:31:28 PM,01/14/2014 08:51:42 PM,NYPD,New York City Police Department,Derelict Vehicle,With License Plate,11236,Closed
27051031,01/04/2014 12:00:00 AM,01/05/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11226,Closed
27255139,01/24/2014 12:00:00 AM,01/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11207,Closed
27221797,01/22/2014 12:00:00 AM,01/25/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11213,Closed
27030760,01/02/2014 05:45:00 PM,01/02/2014 06:25:00 PM,DOT,Department of Transportation,Traffic Signal Condition,LED Pedestrian Unit,,Closed
27252034,01/24/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10026,Closed
27151539,01/15/2014 12:00:00 AM,,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,10032,Open
27233421,01/23/2014 03:40:00 PM,12/16/2013 12:40:00 AM,DOT,Department of Transportation,Street Light Condition,Street Light Out,10469,Pending
27078309,01/06/2014 01:53:50 PM,01/07/2014 08:40:00 AM,DOT,Department of Transportation,Street Condition,Pothole,11433,Closed
27052901,01/04/2014 12:00:00 AM,01/07/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10457,Closed
27232141,01/23/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10030,Closed
27237375,01/23/2014 12:00:00 AM,02/09/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,11205,Closed
27097384,01/08/2014 12:00:00 AM,01/12/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11373,Closed
27029177,01/01/2014 12:00:00 AM,01/07/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10456,Closed
27208535,01/21/2014 04:03:47 PM,,DPR,Department of Parks and Recreation,Damaged Tree,Branch or Limb Has Fallen Down,11229,Assigned
27069832,01/06/2014 12:00:00 AM,02/10/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,11233,Closed
27276128,01/28/2014 03:12:05 PM,01/29/2014 07:42:10 AM,DOF,Department of Finance,DOF Literature Request,Property Tax Exemption Application for Owners - English,,Closed
27147439,01/14/2014 12:00:00 AM,,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,11415,Open
27064572,01/05/2014 12:00:00 AM,01/09/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10453,Closed
27146437,01/14/2014 12:00:00 AM,03/19/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL,DOORS,10040,Closed
27252318,01/24/2014 12:00:00 AM,01/26/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11104,Closed
27277533,01/28/2014 12:00:00 AM,02/03/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10031,Closed
27095586,01/08/2014 01:15:00 PM,01/08/2014 04:10:00 PM,DEP,Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking - Private Residence (CMR),11414,Closed
27295744,01/30/2014 08:35:48 PM,,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,10021,Assigned
27296177,01/30/2014 12:00:00 AM,01/31/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10456,Closed
27036241,01/02/2014 12:00:00 AM,01/08/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11221,Closed
27091523,01/08/2014 08:25:00 AM,01/08/2014 08:45:00 AM,DEP,Department of Environmental Protection,Water System,No Water/Low Pressure (WA5),11362,Closed
27058147,01/04/2014 09:32:00 PM,01/05/2014 12:00:00 PM,DSNY,BCC - Brooklyn South,Snow,15S Re-Plow/Spread/Ice-Snow Cond.,11223,Closed
27190571,01/19/2014 12:00:00 AM,01/22/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10460,Closed
27218326,01/22/2014 12:00:00 AM,01/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11237,Closed
27043709,01/03/2014 08:12:00 PM,01/06/2014 12:00:00 PM,DSNY,A - Brooklyn,Snow,E9 Snow / Icy Sidewalk,11223,Closed
27101149,01/08/2014 12:00:00 AM,01/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11208,Closed
27229143,01/23/2014 12:00:00 AM,01/26/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10472,Closed
27101700,01/08/2014 05:14:00 PM,01/13/2014 02:50:00 AM,DEP,Department of Environmental Protection,Water System,Hydrant Leaking (WC1),11201,Closed
27114939,01/09/2014 12:00:00 AM,01/16/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,11218,Closed
27133638,01/12/2014 05:35:58 PM,01/14/2014 10:23:38 AM,DOT,Department of Transportation,Street Condition,Plate Condition - Shifted,11354,Closed
27280436,01/28/2014 12:00:00 AM,01/29/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10460,Closed
27156573,01/15/2014 10:13:09 AM,01/21/2014 12:00:00 AM,DOB,Department of Buildings,Electrical,Electrical Wiring Defective/Exposed,11206,Closed
27231351,01/23/2014 05:27:00 PM,01/23/2014 05:27:00 PM,DSNY,BCC - Bronx,Snow,15S Re-Plow/Spread/Ice-Snow Cond.,10467,Closed
27043346,01/03/2014 01:08:00 PM,01/03/2014 02:10:00 PM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,Closed
27133410,01/12/2014 12:00:00 AM,01/26/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,NONCONST,VERMIN,10456,Closed
27211910,01/21/2014 01:36:00 PM,01/21/2014 02:00:00 PM,DEP,Department of Environmental Protection,Water System,Leak (Use Comments) (WA2),11436,Closed
27071370,01/06/2014 12:11:00 PM,01/06/2014 02:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),11201,Closed
27153296,01/15/2014 12:00:00 AM,01/17/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,10040,Closed
27171649,01/17/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,10026,Closed
27113619,01/09/2014 12:00:00 AM,01/16/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10031,Closed
27045717,01/03/2014 12:00:00 AM,01/06/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,10453,Closed
27036874,01/02/2014 12:42:11 PM,,DSNY,Department of Sanitation,Graffiti,Graffiti,11220,Open
27056740,01/04/2014 12:00:00 AM,01/07/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11374,Closed
27271345,01/24/2014 09:56:26 PM,01/27/2014 12:00:00 AM,DOB,Department of Buildings,Emergency Response Team (ERT),Lights From Parking Lot Shining On Building,11419,Closed
27076817,01/07/2014 12:00:00 AM,01/16/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,RADIATOR,10025,Closed
27191681,01/19/2014 12:00:00 AM,01/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11377,Closed
27217914,01/22/2014 12:00:00 AM,02/10/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,10301,Closed
27264253,01/27/2014 12:00:00 AM,01/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11218,Closed
27216309,01/22/2014 02:05:56 PM,01/23/2014 02:09:36 PM,DOF,Department of Finance,DOF Literature Request,Parking Violations Payment Plan Request Form,,Closed
27101181,01/08/2014 12:00:00 AM,01/12/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11420,Closed
27125103,01/11/2014 12:00:00 AM,01/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10469,Closed
27257115,01/25/2014 12:00:00 AM,01/29/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10306,Closed
27042294,01/02/2014 11:11:34 AM,01/06/2014 12:00:00 AM,DOB,Department of Buildings,Building/Use,Zoning - Non-Conforming/Illegal Vehicle Storage,11434,Closed
27265297,01/27/2014 12:00:00 AM,01/31/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11216,Closed
27176847,01/17/2014 08:54:51 PM,01/17/2014 09:07:54 PM,NYPD,New York City Police Department,Noise - Vehicle,Engine Idling,11238,Closed
27270667,01/27/2014 12:00:00 AM,,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,10002,Open
27186115,01/18/2014 12:00:00 AM,01/23/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,11230,Closed
27250886,01/26/2014 12:00:00 AM,01/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11218,Closed
27224365,01/22/2014 12:00:00 AM,01/25/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10467,Closed
27256867,01/24/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10457,Closed
27116547,01/10/2014 07:32:00 AM,01/10/2014 10:15:00 AM,DEP,Department of Environmental Protection,Water Conservation,Water Meter Broken/Leaking - Other (CMO),10460,Closed
27276217,01/28/2014 12:00:00 AM,02/24/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,10458,Closed
27144830,01/14/2014 12:00:00 AM,02/10/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,10037,Closed
27278761,01/28/2014 12:00:00 AM,01/30/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10031,Closed
27128261,01/11/2014 12:00:00 AM,01/11/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10466,Closed
27109542,01/09/2014 10:06:28 PM,01/09/2014 11:17:51 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,11435,Closed
27107117,01/09/2014 06:15:00 AM,,DEP,Department of Environmental Protection,Sewer,Manhole Cover Broken/Making Noise (SB),11232,Started
27146815,01/14/2014 12:00:00 AM,01/15/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11232,Closed
27036617,01/02/2014 10:43:01 PM,01/02/2014 10:56:14 PM,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,11228,Closed
27229693,01/23/2014 12:00:00 AM,,HPD,Department of Housing Preservation and Development,PLUMBING,SEWER,11413,Open
27108157,01/09/2014 12:00:00 AM,01/14/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11201,Closed
27032024,01/02/2014 12:00:00 AM,01/07/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11210,Closed
27059261,01/05/2014 11:20:00 AM,01/06/2014 12:00:00 PM,DSNY,A - Brooklyn,Snow,E9 Snow / Icy Sidewalk,11234,Closed
27235075,01/23/2014 12:00:00 AM,01/26/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10457,Closed
27076911,01/07/2014 12:00:00 AM,01/13/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11230,Closed
27035040,01/02/2014 12:00:00 AM,01/08/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10472,Closed
27189759,01/19/2014 06:05:50 PM,01/19/2014 10:44:55 PM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,11230,Closed
27267588,01/23/2014 10:29:24 AM,01/24/2014 10:00:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,Closed
27077628,01/07/2014 12:00:00 AM,01/09/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10467,Closed
27269940,01/27/2014 12:00:00 AM,01/31/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11213,Closed
27129566,01/12/2014 12:00:00 AM,02/16/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,11238,Closed
27106144,01/09/2014 02:00:27 PM,01/10/2014 11:40:00 AM,DOT,Department of Transportation,Street Condition,Pothole,,Closed
27254325,01/24/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11374,Closed
27231518,01/23/2014 12:00:00 AM,02/20/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,11238,Closed
27115941,01/10/2014 03:47:00 PM,01/11/2014 12:00:00 PM,DSNY,BCC - Staten Island,Snow,15S Re-Plow/Spread/Ice-Snow Cond.,10301,Closed
27127686,01/11/2014 12:47:00 PM,01/16/2014 12:00:00 PM,DSNY,BCC - Queens East,Missed Collection (All Materials),1 Missed Collection,11357,Closed
27193412,01/20/2014 08:30:00 AM,01/23/2014 12:00:00 PM,DSNY,BCC - Manhattan,Sanitation Condition,15 Street Cond/Dump-Out/Drop-Off,10027,Closed
27103207,01/08/2014 12:00:00 AM,01/08/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10452,Closed
27113329,01/09/2014 11:25:17 AM,01/10/2014 08:30:00 AM,DOT,Department of Transportation,Street Condition,Pothole,10303,Closed
27050084,01/03/2014 06:28:00 AM,01/06/2014 01:25:00 PM,DOT,Department of Transportation,Traffic Signal Condition,Controller,11372,Closed
27083476,01/07/2014 09:45:50 PM,01/09/2014 07:26:36 AM,DOF,Department of Finance,DOF Literature Request,Property Tax Exemption Application for Owners - English,,Closed
27034082,01/01/2014 02:49:31 PM,01/02/2014 09:05:00 AM,DOT,Department of Transportation,Street Condition,Pothole,11378,Closed
27108672,01/09/2014 12:00:00 AM,01/17/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,10458,Closed
27206188,01/21/2014 12:00:00 AM,02/12/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,11238,Closed
27071815,01/06/2014 09:12:29 AM,01/07/2014 09:14:36 AM,DOF,Department of Finance,DOF Literature Request,Property Tax Exemption Application for Owners - English,,Closed
27237243,01/23/2014 12:00:00 AM,02/04/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,11238,Closed
27114317,01/09/2014 09:02:43 AM,01/09/2014 11:02:00 AM,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,10001,Closed
27040638,01/02/2014 12:00:00 AM,01/06/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10452,Closed
27105178,01/08/2014 12:00:00 AM,01/15/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,10453,Closed
27169866,01/16/2014 12:00:00 AM,01/23/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,10451,Closed
27052228,01/04/2014 12:00:00 AM,01/06/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10462,Closed
27047537,01/03/2014 12:00:00 AM,01/07/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10451,Closed
27173132,01/17/2014 12:00:00 AM,01/28/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10030,Closed
27057089,01/04/2014 12:00:00 AM,01/04/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10026,Closed
27283299,01/29/2014 02:43:38 PM,03/26/2014 12:00:00 AM,DOB,Department of Buildings,Building/Use,Illegal Conversion Of Residential Building/Space,11356,Closed
27107289,01/08/2014 03:55:45 PM,01/09/2014 01:50:00 PM,DOT,Department of Transportation,Street Condition,Pothole,10017,Closed
27288926,01/29/2014 12:00:00 AM,03/14/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL,FLOOR,10031,Closed
27086421,01/07/2014 09:15:23 PM,,DOHMH,Department of Health and Mental Hygiene,Non-Residential Heat,Inadequate or No Heat,11208,Pending
27262000,01/27/2014 12:00:00 AM,02/02/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,11225,Closed
27261493,01/25/2014 12:00:00 AM,01/25/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10026,Closed
27258734,01/25/2014 12:00:00 AM,01/27/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,HEATING,HEAT,10468,Closed
27063003,01/05/2014 12:00:00 AM,01/08/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,10458,Closed
27074525,01/06/2014 07:09:00 AM,01/06/2014 09:30:00 AM,DEP,Department of Environmental Protection,Sewer,Sewer Backup (Use Comments) (SA),10466,Closed
27190272,01/19/2014 02:47:19 AM,01/19/2014 04:25:08 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,11216,Closed
27123200,01/10/2014 12:00:00 AM,01/22/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS-RANGE,10458,Closed
27243711,01/24/2014 03:35:31 PM,01/27/2014 06:53:42 PM,FDNY,Bureau of Fire Prevention - Highrise Unit - Inspections,Fire Safety Director - F58,On Site Test,10013,Closed
27171147,01/15/2014 08:33:17 AM,01/16/2014 12:35:00 PM,DOT,Department of Transportation,Street Condition,Pothole,11375,Closed
27057316,01/04/2014 09:23:00 PM,01/05/2014 12:00:00 PM,DSNY,BCC - Staten Island,Snow,15S Re-Plow/Spread/Ice-Snow Cond.,10306,Closed
27077239,01/07/2014 12:00:00 AM,01/23/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,GAS,10456,Closed
27185160,01/17/2014 02:12:14 AM,01/17/2014 09:25:00 PM,DOT,Department of Transportation,Street Condition,Pothole,,Closed
27286280,01/29/2014 09:29:00 AM,01/29/2014 02:42:00 PM,DEP,Department of Environmental Protection,Water System,Possible Water Main Break (Use Comments) (WA1),10308,Closed
27120586,01/10/2014 06:34:00 PM,01/10/2014 07:30:00 PM,DOT,Department of Transportation,Traffic Signal Condition,Controller,,Closed
27094412,01/08/2014 12:00:00 AM,02/12/2014 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,10468,Closed
27096205,01/06/2014 08:05:50 AM,01/07/2014 10:10:00 AM,DOT,Department of Transportation,Street Condition,Pothole,11211,Closed
